Name_of_Saint,Memorial,gender,birth_year,place_of_birth,country,death_year,death_place,death_country,vocation,veneration_year,Venerated_by,beatified_year,beatified_by,canonized_year,canonized_by
Saint Paul Aurelian,12 March,male,,       ,Wales,572,,France,priest,,,,,,
Saint Aurelian of Lyons,4 July,male,,,,895,,,laity,,,,,,
Saint Aurelian of Limoges,10 May,male,,   ,,,"relics re-discovered in the Saint-Cessateur parish church outside the walls of Limoges, France",France,priest,,,,,,
Saint Aurelia of Strasbourg,15 October,female,, ,,1027,,Gemany,priest,,,,,,
Venerable Aureliano of the Blessed Sacrament,27 June,male,1887,,Spain,1963,,India,laity,1999,pope-saint-john-paul-ii,,,,
Saint Petronilla of Rome,31 May,female,,                                ,,,,,laity,,,,,,
Saint Aurelia,2 December,unknown,,,,258,,beaten to death,laity,,,,,,
Saint Áurea of San Millán,11 March,female,1042,    ,Spain,1069,,Navarre,nun,,,,,,
Saint Aurea of Paris,4 October,female,, ,Syria,666,,plague,nun,,,,,,
Blessed Simon of Aulne,6 November,male,,,,1215,,,laity,,,,,,
Saint Eulalia of Merida,10 December,female,290,                 ,Spain,304,,Spain,laity,,,,,,
Saint Augustus of Campania,1 September,male,,   ,North Africa,490,,Italy,priest,,,,,1020,
Saint Augustine Webster,4 May,male,,         ,,1535,,England,priest,1929,pope-pius-xi,1929,pope-pius-xi,1970,pope-saint-paul-vi
Saint Augustine Schoffler,1 May,male,1822,         ,France,1852,,Vietnam,priest,1899,pope-leo-xiii,1900,pope-leo-xiii,1988,pope-saint-john-paul-ii
Blessed Augustine Ota,10 August,male,1572,Japan,,1622,,Japan,laity,1866,pope-blessed-pius-ix,1867,pope-blessed-pius-ix,,
Saint Augustine of Canterbury,27 May,male,,                               ,Italy,605,,England,priest,,,,,,
Saint Augustine Moi Van Nguyen,19 December,male,1806,  ,Vietnamese,1839,,strangled,laity,,,1900,pope-leo-xiii,1988,pope-saint-john-paul-ii
Saint Augustinô Phan Viet Huy,13 June,unknown,1795,   ,Vietnam,1839,,Vietnam,laity,1899,pope-leo-xiii,1900,pope-leo-xiii,1988,pope-saint-john-paul-ii
Blessed Augustine Gazotich,Lucera,male,1262,    ,Dalmatia,1323,,Italy,priest,,,1700,pope-innocent-xii,,
Blessed Augustine Thevarparampil,16 October,unknown,1891,  ,India,1973,,India,priest,2004,pope-saint-john-paul-ii,2006,pope-benedict-xvi,,
Saint Augustine of Hippo,28 August,male,354,                                                                                                                                                                                                                                                                   ,Algeria,430,,,priest,,,,,,
Blessed Augustine Fangi,Biella,male,1430,   ,Italy,1493,,Italy,laity,,,1878,pope-pius-ix,,
Saint Augustine Tchao,21 March,male,1746,          ,China,1815,,China,priest,,,1900,pope-leo-xiii,2000,pope-saint-john-paul-ii
Blessed Ambroise-Augustin Chevreux,2 September,male,1728,,France,1792,,France,laity,1926,pope-pius-xi,1926,pope-pius-xi,,
Saint Augustine of Sens,6 September,unknown,,Spain,,273,,France,laity,,,,,,
Saint Julian of Auvergne,28 August,male,,           ,France,,"beheaded near Briounde, Gaul (in modern France)",France,laity,,,,,,
Saint Auguste Chapdelaine,28 February,male,1814,          ,France,1856,,China,priest,1899,pope-leo-xiii,1900,pope-leo-xiii,2000,pope-saint-john-paul-ii
Saint Augustalis,7 September,male,,,,450,,,priest,,,,,,
Saint Augurius the Martyr,21 January,male,,     ,,259,,Spain,laity,,,,,,
Saint Augusta of Treviso,27 March,female,,          ,,,,father,laity,,,,,,
Saint Simbert of Augsburg,13 October,male,,,,809,,,priest,,,,,1468,pope-paul-ii
Saint Ulric of Augsburg,4 July,male,890,                                     ,Switzerland,973,,Germany,priest,,,,,993,pope-john-xv
Saint Eugendus of Condat,1 January,male,449,            ,France,510,,Switzerland,priest,,,,,,
Saint Othmar of Saint Gall,16 November,male,,      ,,759,,Switzerland,priest,,,,,,
Saint Omer,9 September,male,595,        ,France,670,,,priest,,,,,,
Saint Audifax of Persia,19 January,male,,      ,Persia,270,,Rome,laity,,,,,,
Saint Augebert of Champagne,6 September,male,,England,,,,France,laity,,,,,,
Saint Audax of Thora,9 July,male,,   ,,250,,Italy,laity,,,,,,
Saint Ethelburga of Faremoutier,7 July,female,,   ,,664,,France,laity,,,,,,
Saint Silvinus of Auchy,17 February,male,,   ,France,718,,France,priest,,,,,,
Saint Aubert of Arras,13 December,male,,       ,,669,,,priest,,,,,,
Saint Atto of Oca,1 June,male,,,,1044,,,priest,,,,,,
Saint Atticus,6 November,unknown,,,,,,,laity,,,,,,
Saint Atticus of Constantinople,8 January,male,,,Armenia,425,,Constantinople,priest,,,,,,
Saint Attalus of Catania,31 December,unknown,,,,,,,laity,,,,,,
Saint Peter of Atroa,1 January,male,773, ,Asia Minor,837,,monks,priest,,,,,,
Saint Attalia,3 December,female,697,,,741,,,nun,,,,,,
Saint Attalas of Bobbio,10 March,male,,               ,France,627,,,laity,,,,,,
Blessed Thomas Atkinson,11 March,male,,     ,England,1616,,England,laity,1986,pope-saint-john-paul-ii,1987,pope-saint-john-paul-ii,,
Niño de Atocha,children,male,,  ,,,,,laity,,,,,,
Saint Dionysius the Aeropagite,3 October,male,,            ,,95,,Greece,priest,,,,,,
Saint Attilanus of Zamora,5 October,male,939,          ,Spain,1009,,Spain,priest,,,,,1095,pope-urban-ii
Saint Athelm of Canterbury,8 January,male,,  ,,923,,,priest,,,,,,
Saint Hilary of Poitiers,Athanasius,male,315,                                                             ,France,368,,,priest,,,,,,
Saint Athanasius of Sorrento,26 January,male,,,,,,,priest,,,,,,
Saint Athanasius of Naples,15 July,male,,  ,Italy,872,,Italy,priest,,,,,,
Saint Athanasius the Athonite,5 July,male,920, ,,1003,,monks,laity,,,,,,
Saint Athanasius of Jerusalem,5 July,male,, ,,462,,beheaded,priest,,,,,,
Saint Athanasius of Alexandria,Doctor of the Church,male,295,                                                              ,Egypt,373,,Egypt,priest,,,,,,
Saint Athanasius of Modon,31 January,male,826, ,Sicily,885,,,priest,,,,,,
Saint Athanasius of Cilicia,3 January,male,, ,,,,,laity,,,,,,
Saint Athanasia of Canope,31 January,female,, ,,,"beheaded in Canope, Egypt",Egypt,laity,,,,,,
Saint Tathai,26 December,male,,,Irish,,,Wales,laity,,,,,,
Saint Turibius of Astorga,16 April,male,402,       ,Spain,460,,Spain,priest,,,,,,
Saint John de Atarés,29 May,male,, ,,,,,laity,,,,,,
Blessed Maria Angela Astorch,Mystic,female,1592,     ,Spain,1665,,Spain,nun,1850,pope-blessed-pius-ix,1982,pope-saint-john-paul-ii,,
Saint Christina the Astonishing,24 July,female,1150,              ,Belgium,1224,,Belgium,laity,,,,,,
Saint Secundus of Asti,30 March,male,,                      ,,119,,Italy,laity,,,,,,
Saint Malcoldia of Asti,16 March,female,,,,1090,,,nun,,,,,,
Blessed Mary Assunta,7 April,female,1878,    ,,1905,,typhus,nun,,,1954,pope-venerable-pius-xii,,
Saint Asterius of Caesarea,3 March,unknown,,   ,,262,,Palestine,laity,,,,,,
Saint Evasius of Asti,1 December,male,,        ,Italy,362,,Italy,priest,,,,,,
Saint Rufinus of Assisi,11 August,male,,           ,,,"drowned in the river Chiascio in the town of Costano, Italy (part of modern Bastia Umbra)",Bastia Umbra,priest,,,,,,
Blessed Sylvester of Assisi,6 March,male,,,,1240,,,priest,,,,,,
Saint Felix of Cantalice,Capuchins,male,1515,                     ,Italy,1587,,Italy,laity,,,1625,pope-urban-viii,1712,pope-clement-xi
Saint Aspren of Naples,3 August,male,,  ,,,,,priest,,,,,,
Saint Francis of Assisi,4 October,male,1181,                                                                                                                                                                                                                       ,Italy,1226,,Italy,nun,,,,,1228,pope-gregory-ix
Saint Aspasius of Auch,2 January,male,,    ,,560,,,priest,,,,,,
Venerable Roger Ashton,England,male,,England,,1592,,England,laity,,,,,,
Blessed Ralph Ashley,7 April,male,,       ,,1607,,England,priest,1929,pope-pius-xi,1929,pope-pius-xi,,
Saint Clare of Assisi,11 August,female,1194,                                                                             ,Italy,1253,,,nun,,,,,1255,pope-alexander-iv
Saint Asella of Rome,6 December,female,, ,,406,,,laity,,,,,,
Saint Asclepiades,1 February,male,,,,250,,burned at the stake,laity,,,,,,
Saint Serafino of Montegranaro,12 October,male,,               ,Italy,1604,,Italy,laity,,,1729,pope-benedict-xiii,1767,pope-clement-xiii
Saint Asicus of Elphin,27 April,male,,     ,,490,,Ireland,priest,,,,,1902,pope-leo-xiii
Saint Martin of the Ascension,6 February,unknown,1567,  ,Spain,1597,,Japan,priest,,,1627,pope-urban-viii,1862,pope-blessed-pius-ix
