Name_of_Saint,Memorial,gender,birth_year,place_of_birth,country,death_year,death_place,death_country,vocation,veneration_year,Venerated_by,beatified_year,beatified_by,canonized_year,canonized_by
Saint Domitius of Phrygia,5 July,unknown,,    ,Persian,362,,stoned to death,laity,,,,,,
Saint Domangard of Maghera,24 March,male,,  ,,,,,laity,,,,,,
Blessed Domenico Lentini,25 February,male,1770,        ,Italy,1828,,Italy,priest,1935,pope-pius-xi,1997,pope-saint-john-paul-ii,,
Blessed Domingo Iturrate Zubero,8 April,male,1901,       ,Spain,1927,,tuberculosis,priest,1980,pope-saint-john-paul-ii,1983,pope-saint-john-paul-ii,,
Saint Cadoc of Llancarvan,21 September,male,,            ,Welsh,,,,priest,,,,,,
Saint Duje,7 May,male,,    ,Syria,304,,Croatia,priest,,,,,,
Blessed James of Viterbo,Naples,male,1255,     ,Italy,1308,,,priest,,,1911,pope-saint-pius-x,,
Blessed Raymond Lull,30 June,male,1234,                        ,Spain,1315,,martyred,laity,,,1847,pope-blessed-pius-ix,,
Saint Disibod of Disenberg,8 September,male,619,        ,Ireland,700,,,priest,,,,,,
Saint John the Apostle,27 December,male,,                                                                                                                          ,,101,,Ephesus,laity,,,,,,
Saint Dioscorus,21 December,unknown,, ,,253,,beheaded,laity,,,,,,
Saint Dionysius of Caesarea,24 March,unknown,, ,,,,,laity,,,,,,
Pope Saint Dionysius,26 December,male,,         ,Greece,268,,Italy,priest,,,,,,
Saint Dioscorus of Kynopolis,18 May,unknown,, ,,305,,Egypt,laity,,,,,,
Saint Dionysius the Aeropagite,3 October,male,,            ,,95,,Greece,priest,,,,,,
Saint Dionysius of Corinth,10 March,male,, ,Greek,,thrown to wild animals,thrown to wild animals,laity,,,,,,
Saint Diomma of Kildimo,12 May,male,, ,Irish,,,,laity,,,,,,
Saint Dionysius of Asia,12 May,male,,,,304,,Italy,laity,,,,,,
Saint Hilary of Aquileia,16 March,male,,    ,,284,,tortured to death,priest,,,,,,
Saint Dionysia the Martyr,6 December,female,,  ,,484,,North Africa,nun,,,,,,
Saint Diomedes the Martyr,2 September,unknown,,,,,,,laity,,,,,,
Saint Dionysia of Alexandria,12 December,female,, ,,250,,Egypt,laity,,,,,,
Saint Dinooth,7 September,male,,,,,,,laity,,,,,,
Blessed Dimbalac Oghlou Vartavar,22 November,male,,  ,Armenian,1895,,Armenia,laity,1982,pope-saint-john-paul-ii,1982,pope-saint-john-paul-ii,,
Saint Ninian,16 September,male,360,            ,,432,,,priest,,,,,,
Saint Diman Dubh of Connor,6 January,male,, ,,658,,,priest,,,,,,
Saint William of Dijon,1 January,male,962,     ,Italy,1031,,France,laity,,,,,,
Saint Paschasia of Dijon,9 January,female,,,,178,,France,nun,,,,,,
Saint Benignus of Dijon,1 November,male,,      ,,178,,clubbed to death with an iron bar,priest,,,,,,
Saint Aleth of Dijon,4 April,female,,  ,,1105,,,laity,,,,,,
Saint Vincent of Digne,20 April,male,, ,North Africa,374,,,priest,,,,,,
Saint Digna of Rome,22 September,female,, ,,259,,Italy,nun,,,,,,
Saint Dionysius of Alexandria,8 April,male,190,          ,Egypt,265,,,laity,,,,,,
Saint Digna of Cordoba,14 June,female,,  ,,853,,Spain,nun,,,,,,
Blessed Jutta of Disibodenberg,22 December,female,1084,   ,Germany,1136,,Germany,nun,,,,,,
Saint Marie Adolphine Dierks,8 July,female,1866,  ,Netherlands,1900,,China,laity,1943,pope-venerable-pius-xii,1946,pope-venerable-pius-xii,2000,pope-saint-john-paul-ii
Saint Juan Diego,9 December,male,1474,                     ,Mexico,1548,,,nun,,,1990,pope-saint-john-paul-ii,2002,pope-saint-john-paul-ii
Saint Vinh Son Nguyen The Ðiem,24 November,male,1761,Vietnam,,1838,,Vietnam,priest,1899,pope-leo-xiii,1900,pope-leo-xiii,1988,pope-saint-john-paul-ii
Blessed Diego Oddi,3 June,male,1839,   ,Italy,1919,,Italy,laity,1991,pope-saint-john-paul-ii,1999,pope-saint-john-paul-ii,,
Saint James Kisai,6 February,male,1533, ,Japan,1597,,Japan,laity,,,1627,pope-urban-viii,1862,pope-blessed-pius-ix
Saint Didymus of Alexandria,28 April,female,,     ,,304,,Egypt,laity,,,,,,
Saint Didorus,1 December,unknown,, ,,283,,Italy,laity,,,,,,
Blessed Diego Ventaja Milán,30 August,male,1880,     ,Spain,1936,,Spain,priest,,,,,,
Blessed Diégo Josef of Cádiz,24 March,male,1747,           ,Spain,1801,,Spain,laity,1884,pope-leo-xiii,1894,pope-leo-xiii,,
Saint Diarmaid of Armagh,24 April,male,, ,Irish,852,,,priest,,,,,,
Saint Didacus of Alcalá,12 November,male,1400,                 ,Spain,1463,,Spain,laity,,,,,1588,pope-sixtus-v
Saint Cearan the Devout,14 June,unknown,,  ,Irish,870,,,laity,,,,,,
Blessed Diana d’Andalo,10 June,female,1201,   ,Italy,1236,,Italy,nun,,,1888,pope-leo-xiii,,
Pope Saint Gregory the Great,3 September,male,540,                                                                                                                   ,Italy,604,,Italy,laity,,,,,,
Saint Devota,27 January,female,,        ,France,303,,tortured to death,laity,,,,,,
Saint Deusdedit of Brescia,10 December,male,,    ,,700,,,priest,,,,,,
Pope Saint Adeodatus I,8 November,male,,          ,Italy,618,,plague,laity,,,,,,
Saint Deusdedit of Canterbury,14 July,male,, ,England,664,,plague,laity,,,,,,
Blessed Didier of Thérouanne,20 January,male,,,,1194,,,priest,,,,,,
Saint Dismas,25 March,male,,                               ,,30,,Jerusalem,laity,,,,,,
Saint Desiderius of Fontenelle,18 December,male,,,,700,,,laity,,,,,,
Saint Desiderius of Pozzuoli,19 September,unknown,,,,304,,Italy,laity,,,,,,
Saint Joseph of Leonessa,4 February,male,1556,           ,Italy,1612,,cancer,laity,,,1737,pope-clement-xii,1746,pope-benedict-xiv
Saint Joseph of Cupertino,childhood,male,1603,                                              ,Italy,1663,,fever,priest,,,1753,pope-benedict-xiv,1767,pope-clement-xiii
Saint Derphuta of Amisus,20 March,female,,,,,,,laity,,,,,,
Saint Dichu,29 April,male,,   ,Irish,,,Ireland,laity,,,,,,
Saint Dermot of Inis Clothrann,10 January,unknown,,       ,,542,,,laity,,,,,,
Saint Bolcan of Derken,20 February,male,,    ,,480,,,priest,,,,,,
Saint Derfel Gadarn,5 April,male,566,      ,Wales,660,,Wales,laity,,,,,,
Saint Deogratias of Carthage,5 January,male,,       ,,457,,,priest,,,,,,
Saint Deodatus of Lagny,3 February,male,,,,,,,laity,,,,,,
Blessed Iacobus Matsuo Denji,19 August,unknown,, ,Japan,1622,,Japan,laity,1866,pope-blessed-pius-ix,1867,pope-blessed-pius-ix,,
Saint Deochar,7 July,male,,      ,Germany,847,,Germany,laity,,,,,,
Saint Deodatus of Nevers,19 June,male,,       ,France,679,,,priest,,,,,,
Saint Denis of Paris,France,male,,                                           ,,258,,martyrs,priest,,,,,,
Blessed Dionysius Fugixima,1 November,unknown,,    ,Japan,1622,,Japan,laity,1866,pope-blessed-pius-ix,1867,pope-blessed-pius-ix,,
Saint Denis Ssebuggwawo,25 May,unknown,,    ,Uganda,1886,,Uganda,laity,1920,pope-benedict-xv,1920,pope-benedict-xv,1964,pope-saint-paul-vi
Blessed Denis of the Nativity,29 November,male,1600,  ,France,1638,,death,laity,,,1900,pope-leo-xiii,,
Saint Dionysius of Aquileia,16 March,unknown,,,,284,,beheaded,laity,,,,,,
Saint Collen of Denbighshire,21 May,male,600,Wales,,,,,laity,,,,,,
Saint Dentlin of Soignies,16 March,male,,   ,,,,,laity,,,,,,
Saint Aengus the Culdee,11 March,male,,            ,Ireland,824,,,priest,,,,,,
Saint Demetrius of Ostia,21 November,unknown,,,,,"Ostia, Italy, date unknown",Italy,laity,,,,,,
Saint Demetrius of Sermium,9 April,male,,                    ,,306,,Serbia,laity,,,,,,
Saint Gregory of Nazianzen,Theologian,male,330,                                                             ,Asia Minor,390,,,priest,,,,,,
Saint Demetrius of Veroli,29 November,unknown,,      ,,,"at Veroli, Italy",Italy,laity,,,,,,
Saint Demetrius of Fragalata,18 June,unknown,,,,,"at Fragalata, Sicily",Sicily,laity,,,,,,
Saint Demetrius of Antioch,10 November,male,,,,260,,Syria,priest,,,,,,
Saint Delphinus of Bordeaux,24 December,male,,  ,,403,,,priest,,,,,,
Saint Demetria of Africa,3 June,unknown,, ,,,,,laity,,,,,,
Blessed Delphine of Glandèves,26 November,female,1282,           ,France,1360,,France,nun,,,1694,pope-innocent-xii,,
Saint Clemente Ignacio Delgado Cebrián,12 July,male,1761,     ,Spain,1838,,abuse,priest,1899,pope-leo-xiii,1900,pope-leo-xiii,1988,pope-saint-john-paul-ii
Saint Jeanne of the Cross Delanoue,17 August,female,1666,     ,France,1736,,France,nun,1929,pope-pius-xi,1947,pope-venerable-pius-xii,1982,pope-saint-john-paul-ii
Blessed Pierre Delépine,16 April,unknown,1732,   ,France,1794,,France,laity,1983,pope-saint-john-paul-ii,1984,pope-saint-john-paul-ii,,
Saint Ita of Killeedy,15 January,female,,       ,Ireland,570,,,laity,,,,,,
Saint Servus Dei,16 September,male,,,,852,,Spain,laity,,,,,,
Venerable Leo Gustav Dehon,14 March,male,1843,    ,France,1925,,Belgium,priest,1997,pope-saint-john-paul-ii,2005,pope-saint-john-paul-ii,,
Saint Deiniol of Bangor,11 September,male,,          ,,565,,,priest,,,,,,
Saint Deicola,18 January,male,,        ,Ireland,625,,France,laity,,,,,,
Blessed William Dean,28 August,male,,England,,1588,,England,laity,1929,pope-pius-xi,1929,pope-pius-xi,,
Saint Gregory Decapolites,20 November,male,,Asia Minor,,842,,Constantinople,laity,,,,,,
Saint Declan,1 December,unknown,,,,,,,laity,,,,,,
Deborah the Prophetess,1 November,male,,,,,,,laity,,,,,,
Saint Palladia,24 May,unknown,,,,,,,laity,,,,,,
Saint Philip the Deacon,11 October,male,,      ,Palestine,58,,Palestine,priest,,,,,,
Saint Declan of Ardmore,24 July,male,,    ,Ireland,,,,priest,,,,,,
Saint Peter the Deacon,12 March,male,,,,,,,laity,,,,,,
Saint Diodorus the Deacon,3 May,unknown,,,,,"in Aphrodisia, Caria, Asia Minor",Asia Minor,laity,,,,,,
Saint Luke the Deacon,6 February,male,, ,,311,,,priest,,,,,,
Saint James the Deacon,17 August,male,, ,Italian,,,,laity,,,,,,
Saint Avertinus of Tours,5 May,male,,   ,,1189,,France,laity,,,,,,
Blessed John Davy,8 June,male,,  ,,,,,laity,,,1886,pope-leo-xiii,,
Saint Day,18 January,male,, ,,,,,laity,,,,,,
Blessed Charlotte Davy,1 February,female,1760,,France,1794,,France,laity,1983,pope-saint-john-paul-ii,1984,pope-saint-john-paul-ii,,
Blessed Vicente Vilar David,14 February,male,1889,   ,Spain,1937,,Spain,priest,1993,pope-saint-john-paul-ii,1995,pope-saint-john-paul-ii,,
Saint David Uribe-Velasco,12 April,male,1888,    ,Mexico,1927,,Mexico,priest,1992,pope-saint-john-paul-ii,1992,pope-saint-john-paul-ii,2000,pope-saint-john-paul-ii
Saint Agnes De,12 July,female,1781,   ,Vietnam,1841,,Vietnam,priest,1908,pope-saint-pius-x,1909,pope-saint-pius-x,1988,pope-saint-john-paul-ii
Saint David Roldán-Lara,15 August,male,1907,  ,Mexico,1926,,Mexico,priest,1992,pope-saint-john-paul-ii,1992,pope-saint-john-paul-ii,2000,pope-saint-john-paul-ii
Saint David of Wales,1 March,male,542,                                                    ,Wales,601,,Wales,priest,,,,,1120,pope-saint-callistus-ii
Blessed David Oglu David,22 November,unknown,,  ,Armenian,1895,,Armenia,laity,1982,pope-saint-john-paul-ii,1982,pope-saint-john-paul-ii,,
Blessed Toros Oghlou David,22 November,unknown,,  ,Armenian,1895,,Armenia,laity,1982,pope-saint-john-paul-ii,1982,pope-saint-john-paul-ii,,
Saint David Galván-Bermúdez,30 January,male,1881,    ,Mexico,1915,,Mexico,priest,1992,pope-saint-john-paul-ii,1992,pope-saint-john-paul-ii,2000,pope-saint-john-paul-ii
Saint David Lewis,Catholic,male,1616,           ,Wales,1679,,Wales,priest,1929,pope-pius-xi,1929,pope-pius-xi,1970,pope-paul-vi
Pope Blessed Victor III,16 September,male,1027,    ,Italy,1087,,Italy,laity,,,1887,pope-leo-xiii,,
Blessed Daudi Okelo,18 September,unknown,1902,   ,Ugandan,1918,,Uganda,laity,2002,pope-saint-john-paul-ii,2002,pope-saint-john-paul-ii,,
King David,29 December,male,,          ,Bethlehem,,,Jerusalem,laity,,,,,,
Saint Dativa the Martyr,6 December,female,, ,,484,,North Africa,nun,,,,,,
Saint Datius of North Africa,27 January,unknown,,,,500,,North Africa,laity,,,,,,
Saint Datius of Milan,14 January,male,,   ,,552,,Constantinople,priest,,,,,,
Saint Gioan Ðat,28 October,male,1765,  ,Vietnam,1798,,Vietnam,priest,1899,pope-leo-xiii,1900,pope-leo-xiii,1988,pope-saint-john-paul-ii
Saint Dathus of Ravenna,3 July,male,,,,190,,,priest,,,,,,
Blessed Marcelina Darowska,5 January,female,1827,       ,Poland,1911,,Poland,nun,1994,pope-saint-john-paul-ii,1996,pope-saint-john-paul-ii,,
Saint Darius of Nicaea,19 December,unknown,,,,,"at Nicaea, Bithynia (modern Iznik, Turkey)",Nicaea,laity,,,,,,
Blessed Adilio Daronch,21 May,unknown,1908, ,Brazil,1924,,Brazil,laity,2006,pope-benedict-xvi,2007,pope-benedict-xvi,,
Saint Daria,25 October,female,,                  ,Greek,283,,stoned to death,laity,,,,,,
Saint Darlaugdach of Kildare,1 February,female,,  ,,524,,,laity,,,,,,
Saint Darerca,22 March,female,,     ,,,,,nun,,,,,,
Blessed Darío Acosta Zurita,25 July,male,1908, ,Mexico,1931,,Mexico,priest,2004,pope-saint-john-paul-ii,2005,pope-benedict-xvi,,
Saint Anthony Daniel,4 July,male,1601,      ,France,1648,,Canada,laity,,,,,1930,pope-pius-xi
Saint Daniel the Stylite,11 December,male,409,     ,Syria,493,,Constantinople,laity,,,,,,
Blessed Daniel of Villiers,26 December,male,,   ,,,,,laity,,,,,,
Saint Joan of Arc,30 May,female,1412,                                                                                                                    ,France,1431,,France,priest,,,1909,pope-saint-pius-x,1920,pope-benedict-xv
Blessed Daniel of Cambron,20 January,male,1115,Belgium,,1197,,Belgium,laity,,,,,,
Saint Daniel of Padua,3 January,male,,            ,,168,,Italy,laity,,,,,,
Blessed Daniel Karmasz,24 January,unknown,1826,  ,Poland,1874,,Poland,laity,1996,pope-saint-john-paul-ii,1996,pope-saint-john-paul-ii,,
Saint Daniel Comboni,10 October,male,1831,        ,Italy,1881,,Sudan,priest,1994,pope-saint-john-paul-ii,1996,pope-saint-john-paul-ii,2003,pope-saint-john-paul-ii
Saint Kenan of Damleag,24 November,male,, ,Irish,489,,,priest,,,,,,
Saint Daniel of Cilicia,16 February,male,,    ,Egyptian,309,,beheaded,laity,,,,,,
Saint Thomas Xico,6 February,male,,Japan,,1597,,Japan,laity,,,1627,pope-urban-viii,1862,pope-blessed-pius-ix
Saint Joseph de Veuster,10 May,male,1840,                                               ,Belgium,1889,,leprosy,priest,1977,pope-saint-paul-vi,1995,pope-saint-john-paul-ii,2009,pope-benedict-xvi
Saint Damian of Rome,12 February,unknown,, ,,,"in Rome, Italy, date unknown",Italy,laity,,,,,,
Saint Damian,26 September,male,,                                                                    ,Arabic,303,,beheaded,laity,,,,,,
Saint Dyfan,14 May,unknown,,,,,,,laity,,,,,,
Blessed Damian dei Fulcheri,26 October,male,, ,Italy,1484,,Italy,priest,,,1848,pope-blessed-pius-ix,,
Blessed Daniel Brottier,28 February,male,1876,          ,France,1936,,France,priest,1983,pope-saint-john-paul-ii,1984,pope-saint-john-paul-ii,,
Saint Damian of Africa,12 February,unknown,, ,,,"in Africa, date unknown",Africa,laity,,,,,,
Saint Damhnade,13 June,unknown,,   ,,,,,laity,,,,,,
Saint Marinus,3 September,male,,           ,Dalmatia,,of natural causes,of natural causes,priest,,,,,,
Saint Dallan Forghaill,29 January,male,530,    ,Ireland,598,,Ireland,laity,,,,,,
Blessed Robert Dalby,16 March,male,,       ,England,1589,,England,laity,1929,pope-pius-xi,1929,pope-pius-xi,,
Blessed Adrian of Dalmatia,21 December,unknown,,   ,,,in Dalmatia,Dalmatia,laity,,,,,,
Saint Dagobert II,23 December,male,650,     ,,679,,France,priest,,,,,,
Saint Dalmatius,3 August,unknown,,,,440,,,laity,,,,,,
Saint Edbert of Lindisfarne,6 May,male,,      ,England,698,,,priest,,,,,,
Saint Edmund of East Anglia,20 November,male,841,                                             ,Germany,870,,England,priest,,,,,,
Saint Notburga of Cologne,31 October,female,,,,714,,,nun,,,,,,
Saint Ebbe the Younger,2 April,female,,          ,,870,,Scotland,laity,,,,,,
Saint William of Eskilsoe,6 April,male,1125,             ,France,1203,,Denmark,priest,,,,,1224,pope-honorius-iii
Saint Ebbe of Minster-in-Thanet,19 November,unknown,,,England,694,,England,nun,,,,,,
Blessed Margareta Ebner,Mystic,female,1291,     ,Germany,1351,,Germany,nun,,,1979,pope-saint-john-paul-ii,,
Saint Eberhard of Salzburg,22 June,male,1085,Germany,,1164,,Austria,priest,,,,,,
Blessed Richard Leigh,30 August,male,1561,England,,1588,,England,laity,1929,pope-pius-xi,1929,pope-pius-xi,,
Saint Eanfleda of Whitby,24 November,female,,,England,700,,England,nun,,,,,,
Saint Edburga of Thanet,12 December,female,,    ,English,751,,abbey,nun,,,,,,
Saint Aiden,31 January,male,550,    ,miraculous,626,,,priest,,,,,,
Blessed Liduina Meneguzzi,Ethiopian,female,1901,      ,Italy,1941,,Ethiopia,nun,1996,pope-saint-john-paul-ii,2002,pope-saint-john-paul-ii,,
Saint Edana of West Ireland,5 July,female,,Irish,,,,,laity,,,,,,
Saint Edwin of Northumbria,King,male,585,               ,England,633,,England,priest,,,,,,
Saint Ebbe the Elder,25 August,female,615,    ,England,683,,Scotland,nun,,,,,,
Saint Ezekiel Moreno y Diaz,19 August,male,1848,     ,Spain,1906,,cancer,priest,1975,pope-saint-paul-vi,1975,pope-saint-paul-vi,1992,pope-saint-john-paul-ii
Saint Peter Julian Eymund,2 August,male,1811,                          ,France,1868,,stroke,priest,1922,pope-pius-xi,1925,pope-pius-xi,1962,pope-saint-john-xxiii
Saint Exuperantius of Spoleto,30 December,unknown,,  ,,303,,Italy,laity,,,,,,
Saint Hermes the Exorcist,31 December,unknown,,   ,,270,,,priest,,,,,,
Blessed William Exmew,19 June,male,,    ,,,,,laity,,,1886,pope-leo-xiii,,
Saint Apronian the Executioner,2 February,male,,,,304,,Italy,laity,,,,,,
Saint Exsuperius of Pamphylia,2 May,unknown,,  ,,127,,burned to death,laity,,,,,,
Saint Exuperius,22 September,unknown,,,,287,,Switzerland,laity,,,,,,
Saint Hywyn of Aberdaron,6 January,unknown,, ,Welsh,515,,,laity,,,,,,
Saint Abban the Hermit,13 May,male,,  ,Ireland,520,,,laity,,,,,,
Saint Evodius of Antioch,6 May,male,,    ,,69,,,priest,,,,,,
Saint Ewald the Black,3 October,unknown,,       ,England,695,,Westphalia,priest,,,,,,
Saint Ewald the Fair,3 October,unknown,,       ,England,695,,Westphalia,priest,,,,,,
Saint Wystan of Evesham,1 June,male,,     ,,849,,England,laity,,,,,,
Blessed Christopher Bales,4 March,unknown,,    ,England,1590,,England,laity,1929,pope-pius-xi,1929,pope-pius-xi,,
Saint Evermod of Ratzeburg,17 February,male,,,,1178,,,priest,,,,,,
Saint Everild of Everingham,9 July,female,,England,,700,,,nun,,,,,,
Saint Eventius of Rome,3 May,unknown,,   ,,113,,Italy,priest,,,,,,
Saint Eventius of Saragossa,16 April,unknown,, ,,304,,Spain,laity,,,,,,
Saint Eve of Dreux,6 September,unknown,,,,,,,laity,,,,,,
Blessed Everard Hanse,31 July,male,,    ,England,1581,,England,laity,,,1886,pope-leo=xiii,,
Saint Evasius of Asti,1 December,male,,        ,Italy,362,,Italy,priest,,,,,,
Saint Evaristus of Crete,23 December,unknown,,,,250,,Crete,laity,,,,,,
Eve the Matriarch,24 December,male,,          ,,,,,laity,,,,,,
Pope Saint Evaristus,27 October,male,,               ,,107,,,laity,,,,,,
Saint Abban of New Ross,22 December,unknown,,Irish,,,"at Wexford, Ireland of natural causes",Ireland,laity,,,,,,
Saint John the Apostle,27 December,male,,                                                                                                                          ,,101,,Ephesus,laity,,,,,,
Saint Philip the Deacon,11 October,male,,      ,Palestine,58,,Palestine,priest,,,,,,
Saint Evan of Ayrshire,18 August,male,,,Scotland,,"at Irvine, Scotland",Scotland,laity,,,,,,
Saint Philip Evans,22 July,male,1645,     ,Wales,1679,,Wales,priest,1929,pope-pius-xi,1929,pope-pius-xi,1970,pope-paul-vi
Saint Evagrius,1 October,unknown,,,,,"Tomi (modern Constanta, Romania)",Romania,laity,,,,,,
Saint Eutychius,28 December,unknown,, ,,,"at Ankara, Galatia (modern Turkey)","at Ankara, Galatia (modern Turkey)",priest,,,,,,
Saint Eutychianus of Salamanca,13 November,male,,  ,Spain,437,,martyred,laity,,,,,,
Saint Eutychius of Pozzuoli,18 October,unknown,, ,,305,,Italy,laity,,,,,,
Saint Eutropius,12 January,male,,   ,,405,,Asia Minor,laity,,,,,,
Pope Saint Eutychian,8 December,male,,    ,Italy,283,,,laity,,,,,,
Saint Eutropia of Rheims,14 December,female,,     ,,451,,France,nun,,,,,,
Saint Eutropius of Pontus,3 March,unknown,,  ,,308,,martyred,laity,,,,,,
Saint Euthymius the Great,20 January,male,378,    ,Armenia,473,,,priest,,,,,,
Saint Euthymius of Nicomedia,24 December,male,,      ,,303,,,laity,,,,,,
Saint Euthymius the Illuminator,13 May,male,,Georgia,,1028,,travelling,laity,,,,,,
Saint Eustosius of Antioch,10 November,unknown,,,,,"at Antioch, Syria, date unknown",Syria,laity,,,,,,
Saint Eustorgius of Milan,18 September,male,,Greece,,331,,,priest,,,,,,
Saint Eustorgius II of Milan,6 June,male,,   ,,518,,,priest,,,,,,
Saint Eustochius of Tours,19 September,male,,,,461,,,priest,,,,,,
Saint Eutychian the Martyr,2 September,unknown,,,,,,,laity,,,,,,
Saint Eustochium,28 September,female,369,       ,Italy,419,,Bethlehem,nun,,,,,,
Blessed Eustochium of Padua,Cloister,female,1444,       ,Italy,1469,,Italy,nun,,,,,,
Saint Teresa Eustochio Verzeri,3 March,female,1801,       ,Italy,1852,,Italy,nun,1922,pope-pius-vii,1946,pope-venerable-pius-xii,2001,pope-saint-john-paul-ii
Saint Eustochia Calafato,Messina,female,1434,            ,Italy,1491,,Italy,nun,1985,pope-saint-john-paul-ii,1782,pope-pius-vi,1988,pope-saint-john-paul-ii
Saint Eustathius of Antioch,21 February,male,270,           ,,337,,,priest,,,,,,
Saint Eustachius,20 September,male,,                                       ,,188,,Italy,laity,,,,,,
Blessed Eustáquio van Lieshout,30 August,male,1890,        ,Netherlands,1943,,Brazil,laity,2003,pope-saint-john-paul-ii,2006,pope-benedict-xvi,,
Blessed John Eustace,20 September,male,,,,1481,,,laity,,,,,,
Saint Eustace of Vilna,14 April,male,,     ,,1342,,Vilna,laity,,,,,,
Saint Antony Mary Pucci,12 January,male,1818,      ,Italy,1892,,Italy,priest,1948,pope-venerable-pius-xii,1952,pope-venerable-pius-xii,1962,pope-saint-john-xxiii
Saint Eustace of Beauvais,7 September,male,, ,France,,,,priest,,,,,,
Saint Eusebius of Cremona,5 March,male,, ,Italy,423,,,laity,,,,,,
Saint Eusebius of Vercelli,2 August,male,283,                                   ,Sardinia,371,,Italy,priest,,,,,,
Pope Saint Eusebius,17 August,male,,       ,Greek,310,,Italy,laity,,,,,,
Saint Eusebius of Rome,14 August,male,,      ,,357,,Italy,priest,,,,,,
Saint Eusebius of Samosata,22 June,male,,     ,,379,,Syria,priest,,,,,,
Blessed Eusebia Palomino Yenes,10 February,female,1899,    ,Spain,1935,,Spain,laity,1996,pope-saint-john-paul-ii,2004,pope-saint-john-paul-ii,,
Saint Eusebius of Fano,18 April,male,,,,526,,Italy,priest,,,,,,
Saint Eusebius of Rome,25 August,unknown,,  ,,192,,Italy,laity,,,,,,
Saint Eusebia of Marseilles,20 September,female,,,,731,,France,nun,,,,,,
Saint Eusebia of Hamage,16 March,female,640,,,680,,,nun,,,,,,
Saint Eupsychius of Caesarea,7 September,unknown,,,,130,,Cappadocia,laity,,,,,,
Saint Eurosia,25 June,female,,         ,,714,,,laity,,,,,1902,pope-leo-xiii
Blessed Eurosia Fabris,8 January,female,1866,     ,Italy,1932,,Italy,priest,2003,pope-saint-john-paul-ii,2005,pope-benedict-xvi,,
Saint Euprepis of Rome,30 November,unknown,,,,,,,laity,,,,,,
Saint Euporus of Crete,23 December,unknown,,,,250,,Crete,laity,,,,,,
Saint Euphrosyne of Alexandria,1 January,female,,              ,,470,,,nun,,,,,,
Saint Euphrasius of Corfu,29 April,male,,,,,,Corfu,laity,,,,,,
Saint Euphrasia of Amisus,20 March,female,,,,,,,laity,,,,,,
Saint Euphrasia,24 July,female,380,          ,,420,,,laity,,,,,,
Saint Euphemia of Chalcedon,16 September,female,,                         ,,305,,Asia Minor,laity,,,,,,
Saint Euphemia of Amisus,20 March,female,,,,,,,laity,,,,,,
Saint Adamnan of Iona,23 September,male,628,                        ,Ireland,704,,Iona Abbey,priest,,,,,1898,pope-leo-xiii
Saint Eunician of Crete,23 December,unknown,,,,250,,Crete,laity,,,,,,
Saint Eulogius of Tarragona,21 January,unknown,,     ,,259,,Spain,laity,,,,,,
Saint Eulogius of Constantinople,3 July,unknown,,,,367,,Constantintinople,laity,,,,,,
Saint Eulogius of Cordoba,11 March,male,,              ,,859,,Spain,priest,,,,,,
Saint Eulalia of Merida,10 December,female,290,                 ,Spain,304,,Spain,laity,,,,,,
Saint Eulalia of Barcelona,12 February,female,290,                          ,Spain,304,,Spain,nun,,,,,633,
Blessed Marie Rose Durocher,6 October,unknown,1811,             ,Canada,1849,,Canada,priest,1979,pope-saint-john-paul-ii,1982,pope-saint-john-paul-ii,,
Saint Eugenius of Africa,2 May,male,,,,485,,martyred,priest,,,,,,
Blessed Eugenie Smet,7 February,female,1825,       ,France,1871,,cancer,laity,1955,pope-venerable-pius-xii,1957,pope-venerable-pius-xii,,
Saint Eugenian of Autun,8 January,male,,   ,,,,France,priest,,,,,,
Saint Marie-Eugénie de Jésus,10 March,female,1817,       ,France,1898,,France,nun,1961,,1975,pope-saint-paul-vi,2007,pope-benedict-xvi
Blessed Eugenia Ravasco,30 December,female,1845,  ,Italy,1900,,Italy,nun,2000,pope-saint-john-paul-ii,2003,pope-saint-john-paul-ii,,
Blessed Eugenia Picco,7 September,female,1867,       ,Italy,1921,,Italy,nun,1999,pope-saint-john-paul-ii,1992,pope-saint-john-paul-ii,,
Saint Eugenia of Rome,25 December,female,,       ,,258,,beheading,laity,,,,,,
Saint Eugene the Martyr,4 March,male,, ,,300,,Greece,priest,,,,,,
Saint Eugene of Milan,30 December,male,,,,,,,priest,,,,,,
Blessed Pope Eugene III,Pisa,male,,   ,Italy,1151,,Italy,laity,,,1872,pope-blessed-pius-ix,,
Saint Eugene of Cappadocia,6 September,unknown,,,,,Cappadocia,Cappadocia,laity,,,,,,
Pope Saint Eugene I,2 June,male,,        ,Italy,657,,,priest,,,,,,
Saint Eugene de Mazenod,21 May,male,1782,                ,France,1861,,cancer,priest,1970,pope-saint-paul-vi,1975,pope-saint-paul-vi,1995,pope-saint-john-paul-ii
Saint Eugene,24 January,unknown,, ,,,burned at the stake in Asia Minor,Asia Minor,laity,,,,,,
Saint Eugene,29 July,male,,,,260,,Italy,laity,,,,,,
Saint Eugene of Africa,4 January,unknown,, ,,484,,,laity,,,,,,
Saint Eugendus of Condat,1 January,male,449,            ,France,510,,Switzerland,priest,,,,,,
Saint Eudocia of Heliopolis,1 March,female,,         ,Syria,,,beheaded,laity,,,,,,
